,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
414,공고중,[개] 진도견,수컷,0.0,흰색,2021,2.5,충북-청주-2021-00473,2021-05-18 ~2021-05-28,가덕면 구전리 22번지,가족들과 함께 입소,반려동물보호센터,충청북도 청주시청
415,공고중,[개] 진도견,암컷,0.0,흰색,2021,2.5,충북-청주-2021-00474,2021-05-18 ~2021-05-28,가덕면 구전리 22번지,가족들과 함께 입소,반려동물보호센터,충청북도 청주시청
416,공고중,[개] 진도견,암컷,0.0,흰색,2021,2.5,충북-청주-2021-00475,2021-05-18 ~2021-05-28,가덕면 구전리 22번지,가족들과 함께 입소,반려동물보호센터,충청북도 청주시청
417,공고중,[개] 진도견,수컷,,흰색,2021,2.5,충북-청주-2021-00476,2021-05-18 ~2021-05-28,가덕면 구전리 22번지,가족들과 함께 입소,반려동물보호센터,충청북도 청주시청
418,완료(귀가),[개] 진도견,암컷,,흰색,2020,1.0,충남-논산-2021-00205,2021-05-18 ~2021-05-28,상월면 성모의집,"건강양호, 털 깨끗함",논산시청,충청남도 논산시정
419,공고중,[개] 진도견,암컷,0.0,흰색,2021,1.0,경북-성주-2021-00129,2021-05-18 ~2021-05-28,초전면 문덕리1148번지 코카스폐차장 뒷논,공장이 폐업하면서 새끼놓은 개들을 어미와 함께두고감 어미,성주유기동물보호센터,경상북도 성주군청
420,공고중,[개] 진도견,암컷,0.0,호피무뉘,2021,1.0,경북-성주-2021-00131,2021-05-18 ~2021-05-28,초전면 문덕리1148번지 코카스폐차장 뒷논,공장이 폐업하면서 새끼놓은 개들을 어미와 함께두고감 어미,성주유기동물보호센터,경상북도 성주군청
421,공고중,[개] 진도견,암컷,0.0,크림색,2021,6.0,경기-여주-2021-00284,2021-05-19 ~2021-05-31,가남읍 신해리,"빨간색 목띠착용, 온순함",위더스 동물보호센터,경기도 여주시청
422,공고중,[개] 진도견,수컷,0.0,흰색,2019,20.0,전북-전주-2021-00702,2021-05-19 ~ 2021-05-28,아중체련공원,온순함,행복한동물병원,전라북도 전주시청
423,공고중,[개] 진도견,수컷,,흰색,2021,12.0,세종-세종-2021-00228,2021-05-19 ~2021-05-26,조치원 운주산로,"8개월추정, 송하한정식 산책로 주변 나무에 묶여져 있었음",세종유기동물보호센터,세종특별자치시정
424,공고중,[개] 진도견,암컷,0.0,흰색,2021,9.0,경기-이천-2021-00270,2021-05-20 ~2021-05-31,대월면 대흥리,"빨간색 목띠착용, 매우온순함",위더스 동물보호센터,경기도 이천시청
425,공고중,[개] 진도견,수컷,0.0,흰색,2020,15.0,경기-이천-2021-00271,2021-05-20~2021-05-31,대월면 대흥리,온순함,위더스 동물보호센터,경기도 이천시청
426,공고중,[개] 진도견,수컷,0.0,흰색,2018,14.8,강원-강릉-2021-00241,2021-05-21~2021-05-31,주문진 동해대로,빨간색 목줄 착용,강릉시동물사랑센터,강원도 강릉시청
427,공고중,[개] 진도견,수컷,0.0,흰색,2017,19.8,전남-여수-2021-00272,2021-05-21~2021-05-31,시전동 주택가,발견당시 갈색 목띠 착용.,유기동물보호소,전라남도 여수시청
428,완료(귀가),[개] 진도견,암컷,0.0,연갈+흰색,2019,15.0,경남-창원2-2021-00136,2021-05-21~2021-05-31,"마산문학관 (상남동, 마산합포구 노산북8길 49-1)",칩0 (이름,마산유기동물보호소,경상남도 창원시 마산합포회원구청
429,공고중,[개] 진도견,암컷,,백색,2018,16.0,대전-동구-2021-00166,2021-05-22 ~2021-06-01,가양동 54-40 인근,,대전동물보호센터,대전광역시 동구청
430,공고중,[개] 진도견,수컷,0.0,흰색,2018,11.0,경기-고양-2021-00461,2021-05-21~2021-05-31,신원동 613부근,"적색목줄,쇠사슬 끈착용",고양시동물보호센터,경기도 고양시청
431,공고중,[개] 진도견,수컷,0.0,화이트,2018,25.0,경남-밑양-2021-00786,2021-05-21~2021-05-31,교동,잘생기고 멋있는 아이,밀양시동물보호센터,경상남도 밀양시청
432,공고중,[개] 진도견,수컷,0.0,흰색,2016,20.0,충북-청주-2021-00500,2021-05-22 ~2021-06-01,용정동,코가 분홍색이고 순한 아이,반려동물보호센터,충청북도 청주시청
